1|101|1|0|-1|
1|101|2|0|-1|
1|101|3|0|-1|
1|101|4|0|-1|
1|101|5|0|-1|
1|101|6|0|-1|
1|101|7|0|-1|
1|101|8|0|-1|
1|101|9|0|-1|
1|101|10|0|-1|
1|102|1|0|-1|
1|102|2|0|-1|
1|102|3|0|-1|
1|102|4|0|-1|
1|102|5|0|-1|
1|103|1|0|-1|
1|103|2|0|-1|
1|103|3|0|-1|
1|103|4|0|-1|
1|103|5|0|-1|
2|201|1|0|-1|
2|201|2|0|-1|
2|201|3|0|-1|
2|201|4|0|-1|
2|201|5|0|-1|
2|201|6|0|-1|
2|201|7|0|-1|
2|201|8|0|-1|
2|201|9|0|-1|
2|201|10|0|-1|
2|202|1|0|-1|
2|202|2|0|-1|
2|202|3|0|-1|
2|202|4|0|-1|
2|202|5|0|-1|
3|301|1|0|-1|
3|301|2|0|-1|
3|301|3|0|-1|
3|301|4|0|-1|
3|301|5|0|-1|
3|301|6|0|-1|
3|301|7|0|-1|
3|301|8|0|-1|
3|301|9|0|-1|
3|301|10|0|-1|
3|302|1|0|-1|
3|302|2|0|-1|
3|302|3|0|-1|
3|302|4|0|-1|
3|302|5|0|-1|
4|401|1|0|-1|
4|401|2|0|-1|
4|401|3|0|-1|
4|401|4|0|-1|
4|401|5|0|-1|
4|401|6|0|-1|
4|401|7|0|-1|
4|401|8|0|-1|
4|401|9|0|-1|
4|401|10|0|-1|
5|501|1|0|-1|
5|501|2|0|-1|
5|501|3|0|-1|
5|501|4|0|-1|
5|501|5|0|-1|
5|501|6|0|-1|
5|501|7|0|-1|
5|501|8|0|-1|
5|501|9|0|-1|
5|501|10|0|-1|
